4.19,4.20,4.21,4.22,4.23,4.24,4.25,4.26,4.27,4.28,4.29/00,4.29/02,4.29/04,4.29/06,4.29/08,4.29/10,4.29/12,4.29/14,4.29/16,4.29/18,4.29/20,4.29/22,4.30/00,4.30/02,4.30/04,4.30/06,4.30/08,4.30/10,4.30/12,4.30/14,4.30/16,4.30/18,4.30/20,4.30/22,5.01,5.02
science,science,science,science,science,science,weekend,weekend,weekend,weekend,weekend,weekend,weekend,weekend,weekend,weekend,weekend,washington,climate,washington,washington,washington,washington,washington,washington,washington,washington,washington,washington,washington,washington,washington,move,move,move,move
weekend,weekend,weekend,weekend,weekend,weekend,science,science,science,heading,heading,heading,heading,heading,heading,heading,heading,weekend,trump,huge,huge,huge,huge,huge,huge,huge,huge,move,move,move,move,move,washington,washington,washington,washington
meet,meet,meet,meet,heading,heading,heading,heading,heading,learn,learn,learn,learn,learn,learn,learn,learn,heading,epa,street,street,street,street,street,street,street,move,huge,huge,huge,huge,huge,huge,huge,huge,huge
read,read,learn,heading,learn,learn,learn,learn,learn,source,source,source,source,source,source,source,source,street,change,move,move,move,move,move,move,move,street,street,street,street,street,street,street,street,street,street
learn,learn,heading,learn,source,source,source,source,source,science,science,science,science,science,science,science,washington,science,march,science,check,check,science,science,science,science,check,check,check,check,check,check,check,check,check,check
heading,heading,people,source,people,people,people,people,people,people,people,people,people,people,washington,washington,science,learn,people,check,science,science,check,check,check,check,science,science,science,science,science,science,science,science,science,people
people,people,source,people,meet,meet,check,check,check,check,check,check,check,washington,people,people,street,source,peoples,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,science
source,source,read,read,check,check,meet,meet,meet,meet,meet,washington,washington,check,check,check,people,huge,bus,weekend,democracy,democracy,democracy,democracy,democracy,democracy,democracy,democracy,hurt,democracy,democracy,democracy,democracy,democracy,democracy,democracy
check,check,check,check,resist,resist,resist,resist,resist,resist,washington,meet,meet,meet,street,street,check,people,sign,heading,weekend,meet,hurt,hurt,hurt,hurt,hurt,hurt,democracy,hurt,hurt,diverse,diverse,diverse,diverse,diverse
resist,resist,resist,resist,read,read,read,read,washington,washington,resist,street,street,street,meet,huge,huge,check,remove,source,meet,hurt,meet,meet,diverse,diverse,speaking,diverse,diverse,diverse,diverse,patriotic,patriotic,patriotic,patriotic,patriotic
amsterdam,amsterdam,amsterdam,amsterdam,amsterdam,planet,washington,washington,bad,bad,street,resist,planet,huge,huge,meet,move,move,website,democracy,heading,diverse,diverse,diverse,patriotic,speaking,diverse,speaking,patriotic,patriotic,patriotic,speaking,speaking,speaking,speaking,speaking
co2,co2,co2,co2,planet,washington,planet,planet,hope,sea,hope,planet,huge,planet,move,move,meet,meet,coming,learn,diverse,patriotic,patriotic,patriotic,meet,patriotic,patriotic,patriotic,speaking,speaking,speaking,hurt,leadership,leadership,leadership,leadership
planet,planet,planet,planet,co2,amsterdam,hope,bad,planet,street,planet,hope,hope,move,planet,planet,democracy,democracy,inauguration,meet,hurt,weekend,speaking,speaking,speaking,leadership,leadership,leadership,leadership,leadership,leadership,leadership,hurt,hurt,trash,trash
living,week,hope,washington,washington,co2,bad,hope,sea,hope,huge,huge,resist,hope,resist,resist,resist,resist,hours,diverse,source,heading,leadership,leadership,leadership,meet,meet,guide,guide,guide,guide,guide,guide,guide,hurt,hurt
week,washington,washington,hope,hope,hope,amsterdam,street,street,planet,bad,move,move,resist,hope,democracy,planet,diverse,ahead,hurt,learn,speaking,weekend,guide,guide,guide,guide,meet,meet,meet,meet,meet,trash,trash,guide,guide
washington,hope,week,week,week,bad,sea,sea,read,huge,sea,bad,amsterdam,amsterdam,amsterdam,hope,hope,planet,d.c.,patriotic,patriotic,source,guide,resist,tribe,tribe,tribe,tribe,tribe,tribe,resist,trash,meet,resist,resist,resist
hope,living,living,sea,bad,sea,street,huge,huge,u.s.,amsterdam,amsterdam,bad,democracy,democracy,amsterdam,amsterdam,hurt,rally,resist,resist,learn,resist,tribe,resist,resist,resist,resist,resist,resist,tribe,resist,resist,meet,meet,meet
activist,activist,sea,living,sea,street,huge,amsterdam,u.s.,read,move,sea,sea,living,living,diverse,diverse,hope,science,speaking,speaking,resist,heading,weekend,gathering,gathering,gathering,gathering,gathering,trash,trash,tribe,tribe,tribe,tribe,tribe
sea,sea,activist,bad,street,week,co2,u.s.,amsterdam,rise,u.s.,tomorrow,living,bad,diverse,living,hurt,patriotic,beautiful,leadership,leadership,leadership,tribe,heading,weekend,weekend,fighting,trash,trash,gathering,gathering,gathering,gathering,gathering,left,left
bad,bad,bad,street,living,huge,u.s.,rise,rise,amsterdam,read,daily,democracy,daily,daily,love,patriotic,amsterdam,ready,gathering,guide,guide,source,gathering,source,fighting,trash,fighting,fighting,fighting,fighting,fighting,left,left,gathering,gathering
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
